Ticker,Weekly Close,EMA12,EMA26,MACD,Signal,Hist,Last Updated,Momentum
GOOGL,206.09,188.85,180.77,8.09,4.06,4.03,2025-08-23 01:15:30,Yes
META,754.79,722.28,679.11,43.17,34.59,8.58,2025-08-23 01:15:30,Yes
AMZN,228.84,220.77,213.9,6.87,5.01,1.86,2025-08-23 01:15:30,Yes
BABA,122.94,118.04,114.91,3.13,3.23,-0.1,2025-08-23 01:15:30,No
0700.HK,600.0,541.9,510.31,31.59,24.93,6.66,2025-08-23 01:15:30,Yes
NFLX,1204.65,1201.32,1133.1,68.22,81.74,-13.52,2025-08-23 01:15:30,No
BIDU,90.01,87.88,87.83,0.05,-0.51,0.55,2025-08-23 01:15:30,Yes
JD,31.88,32.44,33.53,-1.09,-0.97,-0.11,2025-08-23 01:15:30,No
EBAY,99.22,85.89,78.18,7.71,5.27,2.44,2025-08-23 01:15:30,Yes
MELI,2430.62,2393.38,2307.91,85.48,107.2,-21.73,2025-08-23 01:15:30,No
SE,185.53,160.65,148.08,12.57,11.66,0.91,2025-08-23 01:15:30,Yes
4755.T,903.7,823.67,832.61,-8.95,-21.17,12.22,2025-08-23 01:15:30,Yes
ZAL.DE,25.03,26.64,28.48,-1.84,-1.2,-0.64,2025-08-23 01:15:30,No
CPNG,28.75,28.56,27.18,1.38,1.54,-0.15,2025-08-23 01:15:30,No
3690.HK,118.4,126.42,134.22,-7.79,-6.89,-0.9,2025-08-23 01:15:30,No
PDD,127.11,113.18,111.46,1.73,-0.69,2.41,2025-08-23 01:15:30,Yes
W,77.84,62.15,53.26,8.88,5.05,3.84,2025-08-23 01:15:30,Yes
SNAP,7.2,8.32,8.84,-0.52,-0.46,-0.06,2025-08-23 01:15:30,No
PINS,35.61,35.2,33.95,1.25,0.95,0.3,2025-08-23 01:15:30,Yes
RDDT,217.31,176.85,154.55,22.3,10.74,11.55,2025-08-23 01:15:30,Yes
1024.HK,74.9,68.49,61.97,6.52,4.83,1.68,2025-08-23 01:15:30,Yes
035420.KS,222000.0,226571.28,217839.19,8732.09,9435.04,-702.95,2025-08-23 01:15:30,No
SPOT,692.99,690.25,647.77,42.47,50.05,-7.57,2025-08-23 01:15:30,No
TME,25.35,21.09,18.29,2.81,2.18,0.63,2025-08-23 01:15:30,Yes
BILI,23.98,22.27,20.89,1.38,0.96,0.42,2025-08-23 01:15:30,Yes
ROKU,94.22,85.07,80.46,4.61,3.17,1.44,2025-08-23 01:15:30,Yes
HUYA,3.28,2.94,2.6,0.34,0.24,0.1,2025-08-23 01:15:30,Yes
IQ,2.46,1.96,1.99,-0.03,-0.11,0.08,2025-08-23 01:15:30,Yes
BKNG,5720.87,5488.92,5274.89,214.04,225.99,-11.95,2025-08-23 01:15:30,No
EXPE,214.81,187.8,178.81,8.99,4.45,4.54,2025-08-23 01:15:30,Yes
TCOM,64.92,61.65,61.33,0.33,-0.01,0.34,2025-08-23 01:15:30,Yes
ABNB,129.92,130.57,130.95,-0.38,0.17,-0.56,2025-08-23 01:15:30,No
MMYT,103.21,98.2,99.07,-0.87,-1.1,0.23,2025-08-23 01:15:30,Yes
TRVG,3.24,3.68,3.68,-0.0,0.14,-0.14,2025-08-23 01:15:30,No
DESP,No Data,0.0,0.0,0.0,0.0,0.0,2025-08-23 01:15:30,No
