date,ticker,name,action,price,cost_basis,realized_pnl_pct,reason
2026-04-25,AMZN,Amazon,BUY,263.99,,,rank_1_of_11
2026-04-25,MTCH,Match Group,BUY,36.75,,,rank_2_of_11
2026-04-25,CARG,CarGurus,BUY,37.62,,,rank_3_of_11
2026-04-25,036570.KS,NCSoft,BUY,270500.0,,,rank_4_of_11
2026-04-25,ROKU,Roku,BUY,115.22,,,rank_5_of_11
2026-04-25,EBAY,eBay,BUY,97.94,,,rank_6_of_11
2026-04-25,TWLO,Twilio,BUY,143.79,,,rank_7_of_11
2026-04-25,ABNB,Airbnb,BUY,142.82,,,rank_8_of_11
2026-04-25,4385.T,Mercari,BUY,3995.0,,,rank_9_of_11
2026-04-25,ZM,Zoom,BUY,92.03,,,rank_10_of_11
2026-04-25,NET,Cloudflare,BUY,207.07,,,rank_11_of_11
2026-05-02,XYZ,Block,BUY,71.81,,,rank_1_of_3
2026-05-02,ETSY,Etsy,BUY,63.17,,,rank_2_of_3
2026-05-02,GOOGL,Alphabet,BUY,385.69,,,rank_3_of_3
2026-05-09,JD,JD.com,BUY,30.13,,,rank_1_of_3
2026-05-09,AKAM,Akamai,BUY,147.71,,,rank_2_of_3
2026-05-09,NYKAA.NS,Nykaa,BUY,272.8,,,rank_3_of_3
2026-05-16,CARG,CarGurus,SELL,28.67,37.62,-23.79,signal_off
2026-05-16,BIDU,Baidu,BUY,135.33,,,rank_1_of_1
2026-05-23,DHER.DE,Delivery Hero,BUY,32.97,,,rank_1_of_2
2026-05-23,TRVG,Trivago,BUY,3.29,,,rank_2_of_2
2026-05-30,ALE.WA,Allegro,BUY,34.765,,,rank_1_of_2
2026-06-06,4385.T,Mercari,SELL,3874.0,3995.0,-3.03,signal_off
2026-06-06,NYKAA.NS,Nykaa,SELL,262.3,272.8,-3.85,signal_off
2026-06-06,BIDU,Baidu,SELL,121.66,135.33,-10.1,signal_off
2026-06-06,GRPN,Groupon,BUY,16.46,,,rank_1_of_4
2026-06-06,TDOC,Teladoc,BUY,7.05,,,rank_2_of_4
2026-06-06,APP,Applovin,BUY,557.2,,,rank_3_of_4
